Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI
1801,29.5,76.0,493,385.8,155,155
1803,29.5,76.0,493,385.8,155,156
1805,29.6,76.0,496,387.5,156,157
1807,29.5,76.0,496,388.1,157,153
1809,29.5,76.0,490,383.4,153,152
1811,29.5,76.0,488,381.8,152,153
1813,29.5,76.0,490,383.4,153,155
1815,29.5,76.0,493,385.8,155,157
1817,29.5,76.0,497,388.9,157,157
1819,29.5,76.0,497,388.9,157,156
1821,29.5,76.0,495,387.3,156,156
1823,29.5,76.0,495,387.3,156,156
1825,29.5,76.0,495,387.3,156,154
1827,29.5,76.0,492,385.0,154,155
1829,29.6,76.0,494,385.9,155,158
1831,29.6,76.0,498,389.1,158,159
1833,29.6,76.0,501,391.4,159,159
1835,29.6,75.9,500,390.9,159,161
1837,29.6,75.9,503,393.2,161,162
1839,29.6,75.8,505,395.0,162,162
1841,29.6,75.8,504,394.2,162,162
1843,29.6,75.8,504,394.2,162,162
1845,29.6,75.7,504,394.5,162,163
1847,29.5,75.7,504,395.1,163,163
1849,29.5,75.7,504,395.1,163,163
1851,29.5,75.6,504,395.4,163,163
1853,29.5,75.5,504,395.6,163,161
1855,29.6,75.5,501,392.6,161,161
1857,29.6,75.5,502,393.4,161,162
1859,29.6,75.5,503,394.2,162,162
1861,29.6,75.5,503,394.2,162,162
1863,29.6,75.5,503,394.2,162,161
1865,29.6,75.5,502,393.4,161,162
1867,29.6,75.5,503,394.2,162,164
1869,29.6,75.5,507,397.3,164,162
1871,29.6,75.5,503,394.2,162,159
1873,29.6,75.4,499,391.3,159,154
1875,29.6,75.4,491,385.0,154,148
1877,29.6,75.3,482,378.2,148,146
1879,29.5,75.3,478,375.7,146,141
1881,29.5,75.3,469,368.6,141,139
1883,29.5,75.2,467,367.3,139,136
1885,29.5,75.2,462,363.3,136,133
1887,29.5,75.2,457,359.4,133,129
1889,29.6,75.2,452,354.9,129,126
1891,29.6,75.1,447,351.2,126,121
1893,29.6,75.1,439,344.9,121,117
